# LOCATE: ζ' zeros in [0.5,1]×[11000,11100] via grid-min + secant
  global grid min |ζ'| = 1.021e-2 at σ=0.840 t=11016.000
  located ζ' zeros: 83
    σ=0.875403 t=11000.813411
    σ=0.879041 t=11002.389764
    σ=0.651515 t=11003.076355
    σ=0.840410 t=11004.873394
    σ=0.655645 t=11006.112339
    σ=0.784348 t=11006.799089
    σ=0.859041 t=11007.573083
    σ=0.749928 t=11008.347835
    σ=0.670735 t=11010.072160
    σ=0.536635 t=11011.767916
    σ=0.589938 t=11012.226896
    σ=0.789162 t=11014.285879
    σ=0.842945 t=11015.999970
    σ=0.973487 t=11016.754069
    σ=0.859118 t=11017.642561
    σ=0.687094 t=11018.490373
    σ=0.630601 t=11019.125611
    σ=0.731770 t=11019.944769
    σ=0.866204 t=11021.632220
    σ=0.651647 t=11022.709540
    σ=0.610675 t=11024.543805
    σ=0.750512 t=11025.242252
    σ=0.842677 t=11026.857967
    σ=0.704512 t=11027.737025
    σ=0.697981 t=11029.340921
    σ=0.851633 t=11030.189748
    σ=0.756148 t=11030.964166
    σ=0.861671 t=11032.413871
    σ=0.636174 t=11033.996830
    σ=0.577133 t=11034.598229
    σ=0.901880 t=11035.349372
    σ=0.685180 t=11036.033226
    σ=0.653973 t=11037.777510
    σ=0.910525 t=11038.712858
    σ=0.872077 t=11039.602001
    σ=0.836939 t=11041.144902
    σ=0.821663 t=11042.070224
    σ=0.990970 t=11043.208273
    σ=0.875551 t=11044.496874
    σ=0.720100 t=11045.478675
    σ=0.841596 t=11046.205645
    σ=0.625158 t=11046.905207
    σ=0.866213 t=11047.865242
    σ=0.758711 t=11048.619739
    σ=0.712533 t=11050.619883
    σ=0.727937 t=11051.401290
    σ=0.829444 t=11052.979044
    σ=0.714434 t=11053.818605
    σ=0.523801 t=11054.370607
    σ=0.699508 t=11056.364519
    σ=0.746845 t=11057.119198
    σ=0.669973 t=11058.691682
    σ=0.803579 t=11060.554496
    σ=0.686969 t=11061.523013
    σ=0.646522 t=11063.137357
    σ=0.983113 t=11063.869184
    σ=0.607965 t=11064.579774
    σ=0.765338 t=11066.288598
    σ=0.866553 t=11067.550365
    σ=0.604502 t=11069.243231
    σ=0.743333 t=11069.867324
    σ=0.769712 t=11070.627896
    σ=0.923190 t=11071.707205
    σ=0.768188 t=11073.174602
    σ=0.579822 t=11073.950598
    σ=0.715176 t=11074.655279
    σ=0.580923 t=11076.369374
    σ=0.892748 t=11077.909823
    σ=0.892195 t=11078.862951
    σ=0.522403 t=11080.169949
    σ=0.803178 t=11080.772926
    σ=0.810107 t=11081.528610
    σ=0.572533 t=11082.968855
    σ=0.576274 t=11084.916743
    σ=0.623508 t=11088.368526
    σ=0.714509 t=11090.007528
    σ=0.671086 t=11092.484843
    σ=0.562538 t=11093.061508
    σ=0.687884 t=11093.817851
    σ=0.684801 t=11096.064855
    σ=0.911660 t=11096.716801
    σ=0.827413 t=11097.578477
    σ=0.597199 t=11098.366249
