# LOCATE: ζ' zeros in [0.5,1]×[4900,5000] via grid-min + secant
  global grid min |ζ'| = 6.699e-3 at σ=0.890 t=4920.600
  located ζ' zeros: 73
    σ=0.542637 t=4900.591374
    σ=0.627947 t=4902.571034
    σ=0.920854 t=4904.420169
    σ=0.680224 t=4906.428014
    σ=0.643364 t=4908.554483
    σ=0.733262 t=4909.262714
    σ=0.669634 t=4909.995196
    σ=0.867713 t=4911.104114
    σ=0.942355 t=4912.389608
    σ=0.932089 t=4913.758934
    σ=0.827976 t=4915.022251
    σ=0.692389 t=4915.986302
    σ=0.910890 t=4916.807170
    σ=0.651493 t=4917.569535
    σ=0.572108 t=4919.677830
    σ=0.891024 t=4920.597791
    σ=0.816351 t=4922.450248
