47 verified=true box_begin=47 box_end=48 components=dynamic nodes=621 splits=310 pressure_pruned=75 interval_pruned=236 maximum_depth=37
48 verified=true box_begin=48 box_end=49 components=dynamic nodes=17889 splits=8944 pressure_pruned=34 interval_pruned=8911 maximum_depth=37
49 verified=true box_begin=49 box_end=50 components=dynamic nodes=10105 splits=5052 pressure_pruned=60 interval_pruned=4993 maximum_depth=41
50 verified=true box_begin=50 box_end=51 components=dynamic nodes=35591 splits=17795 pressure_pruned=60 interval_pruned=17736 maximum_depth=47
51 verified=true box_begin=51 box_end=52 components=dynamic nodes=3469 splits=1734 pressure_pruned=57 interval_pruned=1678 maximum_depth=45
52 verified=true box_begin=52 box_end=53 components=dynamic nodes=42803 splits=21401 pressure_pruned=60 interval_pruned=21342 maximum_depth=47
53 verified=true box_begin=53 box_end=54 components=dynamic nodes=5695 splits=2847 pressure_pruned=63 interval_pruned=2785 maximum_depth=47
54 verified=true box_begin=54 box_end=55 components=dynamic nodes=9379 splits=4689 pressure_pruned=57 interval_pruned=4633 maximum_depth=49
55 verified=true box_begin=55 box_end=56 components=dynamic nodes=611 splits=305 pressure_pruned=71 interval_pruned=235 maximum_depth=37
56 verified=true box_begin=56 box_end=57 components=dynamic nodes=14083 splits=7041 pressure_pruned=62 interval_pruned=6980 maximum_depth=42
57 verified=true box_begin=57 box_end=58 components=dynamic nodes=3577 splits=1788 pressure_pruned=54 interval_pruned=1735 maximum_depth=45
58 verified=true box_begin=58 box_end=59 components=dynamic nodes=7583 splits=3791 pressure_pruned=54 interval_pruned=3738 maximum_depth=48
59 verified=true box_begin=59 box_end=60 components=dynamic nodes=607 splits=303 pressure_pruned=71 interval_pruned=233 maximum_depth=37
60 verified=true box_begin=60 box_end=61 components=dynamic nodes=4513 splits=2256 pressure_pruned=44 interval_pruned=2213 maximum_depth=45
61 verified=true box_begin=61 box_end=62 components=dynamic nodes=617 splits=308 pressure_pruned=75 interval_pruned=234 maximum_depth=37
62 verified=true box_begin=62 box_end=63 components=dynamic nodes=615 splits=307 pressure_pruned=67 interval_pruned=241 maximum_depth=37
63 verified=true box_begin=63 box_end=64 components=dynamic nodes=77 splits=38 pressure_pruned=30 interval_pruned=9 maximum_depth=32
